"","chm_max","chm_mea","chm_std","pen2_50","pen2_10","pen1_5","vegEven"
"76",34.79901123,25.50905209,6.247403081,0.50591186,0.890851735,0.97648686,1.011417808
"77",32.68980408,20.52540437,8.892460089,0.431270841,0.847161572,0.956378601,0.930261108
"78",45.22012329,19.34885049,11.40548165,0.469713861,0.660397074,0.906609195,0.953866753
"79",27.11807251,19.72305444,5.290947379,0.487872488,0.838594401,0.969029594,0.748838008
"80",40.56277466,28.4961992,8.274110735,0.489078498,0.923324742,0.981506849,1.033954321
"81",30.21481323,22.52420249,4.053813598,0.551034975,0.946658492,0.989109545,0.808959097
"82",27.53866577,18.51909555,5.987766108,0.530619866,0.853966346,0.966666667,0.716854817
"83",37.87139893,24.00473878,7.274550422,0.509697176,0.857469948,0.970207254,0.955838337
"84",39.65142822,20.12564382,9.533595552,0.544711757,0.840925018,0.948494453,0.869117624
"85",37.3989563,24.03221042,6.654000336,0.457968476,0.859490551,0.970315399,1.006030771
"86",45.14089966,24.16025253,11.90007102,0.663370593,0.954826733,0.985942492,0.858887126
"87",41.38574219,26.4445063,9.809972005,0.508454106,0.946776612,0.987490227,1.016019836
"88",36.60342407,25.49328427,6.753555483,0.481387479,0.94439834,0.985281385,1.044638137
"89",40.35247803,27.70747302,7.269494502,0.4247626,0.839711191,0.975671141,1.076011632
"90",38.64863586,26.52799352,5.131099915,0.460231135,0.943554007,0.994856723,1.050090637
"91",37.21609497,21.61172122,7.031751664,0.528994083,0.962670495,0.997026022,0.890050011
"92",40.1756897,22.14856317,9.392893382,0.558535547,0.921995784,0.982771536,0.947402234
"93",37.49649048,28.98588394,5.752957814,0.436728939,0.895231214,0.973291438,1.069781833
"94",33.40606689,24.00438979,5.89512084,0.432315859,0.772377001,0.893543956,0.964203238
"95",35.73171997,26.12132147,5.091643711,0.447580645,0.871442591,0.961517615,1.001691423
"96",42.57446289,27.48664341,9.446336677,0.532635468,0.953168044,0.984632897,1.00580611
"97",30.55316162,22.28368429,5.324591116,0.523899848,0.947187929,0.992097701,0.855227047
"98",33.5980835,22.02456176,6.132282793,0.408964697,0.820859873,0.956400742,0.936334867
"99",45.15002441,30.72918378,6.296224203,0.461335677,0.958029197,0.995575221,1.049521544
"100",40.18786621,24.21772523,11.06654506,0.663581675,0.974184783,0.996525365,0.868610557
"101",36.92651367,29.35420416,3.198311596,0.449237849,0.955936353,0.991746032,1.061052897
"102",37.84701538,19.12170186,11.24835271,0.689002558,0.946591708,0.987536657,0.797337174
"103",34.56735229,25.93138054,7.242605485,0.605485232,0.947194719,0.98220397,0.930870701
"104",47.99380493,35.27254936,8.980253465,0.475943745,0.907551164,0.951780415,0.971427647
"105",39.90744019,31.2449801,5.846638503,0.448756219,0.917910448,0.967095851,1.039368027
"106",45.1164856,32.60183272,6.60737831,0.465201465,0.964312832,0.997643362,1.016237772
"107",31.20541382,20.87753961,7.616290249,0.62366548,0.937792642,0.990112994,0.842725109
"108",38.97784424,31.17872424,5.280478613,0.471926606,0.969834087,0.988470407,0.949605384
"109",34.07131958,23.93168572,8.634319097,0.501812908,0.957123098,0.988571429,1.032936817
"110",42.40072632,31.76496088,4.472408859,0.416948008,0.916852264,0.981702466,1.06241234
"111",35.08248901,22.01368234,9.40899803,0.61589698,0.942895989,0.983687943,0.896549925
"112",45.90899658,34.66365959,6.519349045,0.387553913,0.911594203,0.983555208,1.042423393
"113",40.92245483,27.55043788,10.08496766,0.542777433,0.945464363,0.991506229,0.999948557
"114",39.37710571,26.52733358,5.397971549,0.464025026,0.918788713,0.990356083,1.037736332
"115",43.69613647,34.44478187,7.722154502,0.434813499,0.940814758,0.987096774,0.934388612
"116",40.67251587,28.01428135,8.640956825,0.519230769,0.926677067,0.988352745,0.996348941
"117",30.72991943,17.31689058,3.868577841,0.485365854,0.883789785,0.984336356,0.727844929
"118",33.14089966,21.42903255,8.291427659,0.488953278,0.940111421,0.994841562,0.996179927
"119",34.82644653,25.07358054,4.671563641,0.472804973,0.928299008,0.991042345,1.019098112
"120",40.38598633,29.33623756,4.393965584,0.456360709,0.968557758,0.99368864,1.054817461
"121",35.4543457,26.20347116,5.827410039,0.424373647,0.843788438,0.971671388,1.029378559
"122",43.58029175,31.28597152,6.647803009,0.471156844,0.971079692,0.993425378,1.022196775
"123",38.46575928,22.74734042,6.212927511,0.499026859,0.930333817,0.989197531,0.913104379
"124",31.57421875,17.38026129,6.19607618,0.574201375,0.868501529,0.977961433,0.738173958
"125",41.0717926,26.22624333,8.539841968,0.530246705,0.86637217,0.948036254,0.986035648
"126",39.70021057,12.84003738,11.35984769,0.651975052,0.891922639,0.975731176,0.775204851
"127",34.21684265,5.730406832,9.08382458,0.83392435,0.961171662,0.988095238,0.502365946
"128",32.23565674,22.0125782,6.145290336,0.514747191,0.90270936,0.974717232,0.868084129
"129",31.64128113,7.458641688,9.285409562,0.743378458,0.940431869,0.993705744,0.626850438
"130",1.6,1.6,0,0.530054645,0.873268698,0.965543645,0.993328446
"131",31.98571777,15.91876196,5.89669024,0.508599509,0.72924006,0.942745608,0.80331215
"132",41.8520813,28.25886839,9.02519484,0.494549859,0.849514563,0.948142415,1.022857565
"133",33.3237915,22.69771315,10.04089007,0.498396865,0.903163331,0.96816609,1.019149763
"134",33.8114624,21.40575583,6.627147139,0.51503319,0.888814016,0.973431734,0.879413193
"135",29.96794128,20.60358085,5.067869683,0.486111111,0.821700508,0.950807636,0.790907912
"136",1.6,1.6,0,0.482517483,0.847994825,0.954148472,0.954245644
"137",30.54402161,23.22626115,4.583203752,0.551824212,0.933380084,0.976522377,0.827030196
"138",16.04467773,9.680127298,3.295272098,0.461716937,0.594917788,0.963680387,0.692274839
"139",30.23312378,3.837371933,6.73405792,0.481392143,0.893793986,0.981728742,0.984823781
"140",32.82391357,17.48143122,7.0282502,0.504402959,0.755672823,0.958500669,0.846937731
"141",26.56027222,10.95550649,6.80076204,0.588514476,0.760736196,0.937972769,0.660308089
"142",33.72305298,25.74027787,5.147619128,0.460940392,0.83277592,0.942467827,1.006257114
"143",31.10482788,13.87923171,5.445731763,0.486235119,0.650572424,0.929587482,0.770661533
"144",25.13381958,10.11482195,8.796583197,0.695308382,0.902806297,0.978486647,0.601617461
"145",1.6,1.6,0,0.618472162,0.970867209,0.995830438,0.887067178
"146",32.72027588,22.37860968,9.206718041,0.500801025,0.823932525,0.945553539,0.974411808
"147",35.87190247,21.74679079,6.454330068,0.576128216,0.937542896,0.983441325,0.848738078
"148",22.93009949,16.62241753,2.739579157,0.521212121,0.831552163,0.969732938,0.690335033
"149",37.911026,17.11832752,4.881004979,0.541625535,0.825476429,0.970518868,0.744448613
"150",37.20083618,23.84880615,8.565247174,0.475282486,0.805505685,0.934722222,0.999932541
"151",28.26411438,11.34689784,6.876178778,0.530438312,0.674754775,0.893980848,0.696467369
"152",33.95471191,20.90452763,9.988129472,0.515708812,0.867827208,0.952583156,0.949597497
"153",21.97607422,11.51598255,3.26947651,0.566146261,0.659645764,0.941900205,0.672576171
"154",31.38830566,17.78320327,8.971573114,0.545121393,0.876934414,0.973017171,0.865285144
"155",34.81425476,19.67126465,8.673969617,0.472027972,0.81270903,0.941130906,0.898752877
"156",28.47442627,12.0618082,5.998580532,0.625613346,0.834424084,0.968844985,0.653769259
"157",36.43579102,22.71131887,5.886047375,0.478747204,0.822549648,0.9455081,0.892737869
"158",35.22270203,14.06297395,10.6319629,0.604087812,0.862702703,0.966686856,0.85730803
"159",31.46754456,9.658945752,10.30498438,0.740085418,0.929501916,0.985377742,0.608029314
"160",33.95471191,25.89344207,6.198156314,0.484836998,0.883287293,0.968939394,1.030846451
"161",26.12440491,16.38251638,3.055536247,0.503847563,0.828812538,0.978647687,0.692706629
"162",37.77996826,15.1914198,10.43577691,0.525096525,0.708333333,0.864177919,0.870350292
"163",33.63774109,22.8151217,5.391602208,0.425719989,0.795418221,0.940768746,0.910443831
"164",33.12872314,16.5277848,10.17803825,0.613711584,0.907692308,0.970104634,0.793057988
"165",28.334198,16.12321166,6.999117175,0.498528794,0.756377551,0.929467085,0.732543104
"166",33.90594482,21.60265267,5.629140761,0.477103718,0.873209169,0.960598897,0.863020748
"167",41.08399963,27.38831961,7.661349671,0.457010582,0.821152704,0.955079475,1.049861103
