"","Acer_negundo","Acer_rubrum","Acer_saccharum","Aesculus_flava","Ailanthus_altissima","Amelanchier_arborea","Asimina_triloba","Carpinus_caroliniana","Carya_spp","Castanea_dentata","Celtis_occidentalis","Cercis_canadensis","Cornus_alternifolia","Cornus_amomum","Cornus_florida","Corylus_americana","Crataegus_spp","Elaeagnus_umbellata","Fagus_grandifolia","Fraxinus_americana","Fraxinus_pennsylvanica","Hamamelis_virginiana","Hypericum_spathulatum","Juglans_nigra","Lindera_benzoin","Liriodendron_tulipifera","Lonicera_japonica","Lonicera_maackii","Nyssa_sylvatica","Ostrya_virginiana","Oxydendrum_arboreum","Parthenocissus_quinquefolia","Pinus_strobus","Platanus_occidentalis","Populus_grandidentata","Prunus_serotina","Quercus_alba","Quercus_coccinea","Quercus_montana","Quercus_rubra","Quercus_velutina","Rhus_copallinum","Rhus_glabra","Rhus_typhina","Rosa_multiflora","Rubus_allegheniensis","Rubus_occidentalis","Sambucus_canadensis","Sassafras_albidum","Smilax_spp","Spiraea_tomentosa","Tilia_americana","Toxicodendron_radicans","Ulmus_americana","Ulmus_rubra","Vaccinium_spp","Viburnum_acerifolium","Viburnum_dentatum","Viburnum_prunifolium","Vitis_spp"
"28",0,3883.38061144225,254.647908947033,0,0,636.619772367581,0,1400.56349920868,827.605704077856,63.6619772367581,0,0,0,0,254.647908947033,1082.25361302489,0,0,63.6619772367581,190.985931710274,190.985931710274,0,0,0,445.633840657307,190.985931710274,0,0,763.943726841098,0,509.295817894065,381.971863420549,0,0,0,127.323954473516,381.971863420549,0,0,827.605704077856,190.985931710274,0,0,0,0,5856.90190578175,254.647908947033,0,254.647908947033,4647.32433828334,0,0,700.281749604339,0,0,0,5156.62015617741,127.323954473516,445.633840657307,127.323954473516
"29",0,509.295817894065,0,0,0,1273.23954473516,0,0,63.6619772367581,0,0,0,0,0,63.6619772367581,0,0,0,1527.8874536822,0,0,5474.9300423612,0,0,0,63.6619772367581,0,0,318.309886183791,0,10886.1981074856,0,0,0,0,0,0,0,0,190.985931710274,63.6619772367581,0,0,0,0,0,0,0,1591.54943091895,8530.70494972559,0,0,0,0,0,127.323954473516,254.647908947033,0,0,0
"30",0,0,63.6619772367581,0,0,0,0,636.619772367581,127.323954473516,0,0,0,0,0,0,0,0,0,190.985931710274,63.6619772367581,0,0,0,0,700.281749604339,0,0,0,0,0,0,63.6619772367581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445.633840657307,0,0,0
"31",0,0,445.633840657307,0,0,0,0,0,381.971863420549,0,0,0,190.985931710274,0,0,0,0,0,190.985931710274,127.323954473516,0,0,0,0,763.943726841098,254.647908947033,0,0,1464.22547644544,0,0,0,0,0,0,127.323954473516,0,0,0,127.323954473516,63.6619772367581,0,0,0,127.323954473516,0,1400.56349920868,0,63.6619772367581,509.295817894065,0,0,0,0,63.6619772367581,0,636.619772367581,0,0,63.6619772367581
"32",0,190.985931710274,0,127.323954473516,0,572.957795130823,0,0,0,0,0,0,0,0,63.6619772367581,0,0,0,254.647908947033,63.6619772367581,0,0,0,0,509.295817894065,0,63.6619772367581,0,63.6619772367581,0,1336.90152197192,0,0,0,0,0,1082.25361302489,0,0,0,0,0,0,0,0,0,0,0,63.6619772367581,2482.81711223357,0,0,0,0,0,0,318.309886183791,0,0,0
"33",0,63.6619772367581,63.6619772367581,254.647908947033,0,0,0,0,190.985931710274,0,0,0,0,0,0,381.971863420549,0,0,0,63.6619772367581,0,0,0,0,2291.83118052329,0,0,0,0,0,0,381.971863420549,0,0,0,0,0,0,127.323954473516,63.6619772367581,0,0,0,0,1018.59163578813,127.323954473516,0,0,0,4647.32433828334,0,0,0,0,0,0,318.309886183791,0,0,509.295817894065
"34",0,190.985931710274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1846.19733986599,254.647908947033,0,0,0,0,445.633840657307,0,0,0,0,0,954.929658551372,0,0,0,0,0,63.6619772367581,0,0,63.6619772367581,0,0,0,0,254.647908947033,63.6619772367581,0,0,0,827.605704077856,0,0,0,0,0,0,0,0,0,0
"35",0,318.309886183791,0,0,0,509.295817894065,0,700.281749604339,127.323954473516,0,0,190.985931710274,0,0,0,0,0,0,190.985931710274,1273.23954473516,0,0,0,0,1464.22547644544,0,509.295817894065,0,63.6619772367581,0,0,63.6619772367581,0,0,0,0,0,0,63.6619772367581,0,0,0,0,0,63.6619772367581,572.957795130823,0,0,0,8976.3387903829,0,0,0,0,0,0,0,0,0,0
"36",0,254.647908947033,0,0,0,0,1400.56349920868,0,63.6619772367581,0,0,0,0,254.647908947033,0,0,0,0,0,0,0,0,0,0,318.309886183791,0,0,0,0,0,0,190.985931710274,0,0,0,0,0,0,0,0,0,0,0,0,12605.0714928781,891.267681314614,0,0,0,63.6619772367581,0,0,1464.22547644544,127.323954473516,0,0,0,0,827.605704077856,763.943726841098
"37",0,445.633840657307,63.6619772367581,0,0,318.309886183791,0,0,572.957795130823,0,0,0,0,0,0,0,0,0,254.647908947033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318.309886183791,0,0,0,0,0,0,0,0,0,0,891.267681314614,0,0,0,0,0,0,0,0,0,0
"38",0,0,127.323954473516,0,0,63.6619772367581,0,63.6619772367581,318.309886183791,0,0,0,0,0,0,0,0,0,254.647908947033,2164.50722604978,0,0,0,0,3183.09886183791,0,0,0,0,63.6619772367581,0,0,0,0,0,0,0,0,0,254.647908947033,63.6619772367581,0,0,0,0,0,0,0,0,318.309886183791,0,0,0,63.6619772367581,0,0,0,0,0,0
"39",0,0,127.323954473516,0,0,0,0,63.6619772367581,0,0,0,0,0,0,0,0,63.6619772367581,0,0,381.971863420549,254.647908947033,0,0,0,0,0,0,0,2737.4650211806,0,0,127.323954473516,0,0,0,0,0,0,0,0,63.6619772367581,0,0,0,63.6619772367581,0,0,0,0,509.295817894065,0,0,0,0,63.6619772367581,0,0,0,0,63.6619772367581
"40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.985931710274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.985931710274,0,0,0,0,0,0,0,0,0,0
"41",190.985931710274,1655.21140815571,190.985931710274,0,0,127.323954473516,0,891.267681314614,1018.59163578813,0,0,254.647908947033,0,0,63.6619772367581,1018.59163578813,254.647908947033,0,190.985931710274,254.647908947033,63.6619772367581,0,0,0,700.281749604339,0,4329.01445209955,0,63.6619772367581,0,0,127.323954473516,127.323954473516,0,0,63.6619772367581,763.943726841098,0,0,763.943726841098,700.281749604339,0,0,0,636.619772367581,3119.43688460115,63.6619772367581,0,381.971863420549,1909.85931710274,0,0,445.633840657307,0,190.985931710274,63.6619772367581,572.957795130823,0,2801.12699841736,127.323954473516
"42",0,0,0,63.6619772367581,0,0,318.309886183791,1909.85931710274,0,0,0,0,0,0,0,0,0,0,1527.8874536822,1973.5212943395,0,0,0,0,1273.23954473516,0,0,0,63.6619772367581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1209.5775674984,0,0,0,0,0,0,63.6619772367581,0,0,0
"43",0,1400.56349920868,0,0,0,424.413181578388,0,42.4413181578388,84.8826363156775,169.765272631355,0,0,0,0,0,0,0,0,424.413181578388,0,0,339.53054526271,0,0,0,42.4413181578388,0,0,594.178454209743,0,6833.05222341204,0,0,0,0,0,84.8826363156775,212.206590789194,551.737136051904,42.4413181578388,212.206590789194,0,0,0,0,0,42.4413181578388,0,679.06109052542,3013.33358920655,0,0,0,0,0,1740.09404447139,933.708999472453,0,0,0
"44",0,0,318.309886183791,63.6619772367581,0,0,1018.59163578813,0,0,0,0,0,0,0,0,0,0,0,891.267681314614,254.647908947033,0,572.957795130823,0,0,318.309886183791,0,0,0,127.323954473516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.6619772367581,0,0,0,0,0,0,0,0,0,0,0,63.6619772367581,0,0,0
"45",0,700.281749604339,0,0,0,0,0,63.6619772367581,572.957795130823,0,0,445.633840657307,0,0,0,254.647908947033,0,127.323954473516,318.309886183791,954.929658551372,0,0,0,0,6939.15551880664,63.6619772367581,63.6619772367581,0,445.633840657307,127.323954473516,63.6619772367581,0,0,0,0,0,127.323954473516,0,0,63.6619772367581,0,0,0,0,763.943726841098,63.6619772367581,0,0,254.647908947033,3947.042588679,0,0,0,0,445.633840657307,0,445.633840657307,0,0,0
"46",0,254.647908947033,0,0,0,63.6619772367581,0,0,190.985931710274,0,0,63.6619772367581,0,0,63.6619772367581,0,0,0,636.619772367581,254.647908947033,0,0,0,0,318.309886183791,0,0,0,381.971863420549,254.647908947033,63.6619772367581,0,0,0,0,0,0,0,0,63.6619772367581,63.6619772367581,0,0,0,509.295817894065,0,0,0,254.647908947033,4647.32433828334,0,0,0,0,0,0,254.647908947033,0,0,0
"47",0,190.985931710274,0,127.323954473516,0,0,0,0,0,0,0,0,0,0,63.6619772367581,0,0,0,572.957795130823,636.619772367581,0,0,0,0,572.957795130823,0,0,0,0,127.323954473516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381.971863420549,0,0,0,0,445.633840657307,0,0,0,0,0,0,0,0,0,0
