"","Acer_rubrum","Acer_saccharinum","Acer_saccharum","Aesculus_flava","Ailanthus_altissima","Amelanchier_arborea","Betula_nigra","Carpinus_caroliniana","Carya_spp","Cercis_canadensis","Cornus_florida","Fagus_grandifolia","Fraxinus_americana","Fraxinus_pennsylvanica","Juglans_nigra","Liriodendron_tulipifera","Nyssa_sylvatica","Ostrya_virginiana","Oxydendrum_arboreum","Pinus_rigida","Pinus_strobus","Platanus_occidentalis","Populus_grandidentata","Prunus_serotina","Quercus_alba","Quercus_coccinea","Quercus_imbricaria","Quercus_montana","Quercus_rubra","Quercus_velutina","Robinia_pseudoacacia","Sassafras_albidum","Tilia_americana","Ulmus_americana","Ulmus_rubra"
"31",49.8566663299852,0,249.283331649926,0,0,0,0,0,12.4641665824963,0,0,24.9283331649926,0,0,0,87.2491660774741,24.9283331649926,0,0,0,0,0,0,0,12.4641665824963,0,0,24.9283331649926,0,0,0,0,0,0,0
"32",87.2491660774741,0,0,12.4641665824963,0,0,0,0,0,0,0,62.3208329124815,0,0,0,62.3208329124815,0,0,12.4641665824963,0,0,0,0,0,62.3208329124815,0,0,12.4641665824963,12.4641665824963,12.4641665824963,0,0,0,0,0
"33",186.962498737445,0,149.569998989956,24.9283331649926,0,0,0,0,124.641665824963,0,0,37.3924997474889,12.4641665824963,0,0,0,0,0,0,0,0,0,0,12.4641665824963,0,0,0,12.4641665824963,24.9283331649926,0,0,0,0,0,0
"34",162.034165572452,0,12.4641665824963,0,0,0,0,0,24.9283331649926,0,0,74.7849994949778,0,0,0,324.068331144904,12.4641665824963,0,0,0,0,0,0,0,0,0,0,0,12.4641665824963,12.4641665824963,0,0,0,0,0
"35",186.962498737445,0,24.9283331649926,0,0,0,0,0,24.9283331649926,0,0,0,12.4641665824963,0,0,0,0,0,0,0,0,0,0,0,12.4641665824963,12.4641665824963,0,37.3924997474889,24.9283331649926,99.7133326599704,0,0,12.4641665824963,0,0
"36",87.2491660774741,0,12.4641665824963,0,0,0,0,0,0,0,0,0,12.4641665824963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4641665824963,0,0,0,0,37.3924997474889,0
"37",186.962498737445,0,0,0,0,0,0,0,24.9283331649926,0,0,62.3208329124815,0,0,0,0,37.3924997474889,0,0,0,0,0,0,0,24.9283331649926,0,0,137.105832407459,12.4641665824963,0,0,0,0,0,0
"38",0,0,186.962498737445,0,0,0,0,0,0,0,0,62.3208329124815,0,0,0,0,0,0,0,0,0,0,0,0,74.7849994949778,0,0,0,24.9283331649926,0,0,0,24.9283331649926,0,0
"39",24.9283331649926,0,174.498332154948,0,0,0,0,0,49.8566663299852,0,0,24.9283331649926,0,0,0,12.4641665824963,62.3208329124815,0,0,0,0,0,0,0,0,0,0,0,0,12.4641665824963,0,0,0,0,0
"40",37.3924997474889,0,0,0,0,0,0,0,0,0,0,174.498332154948,0,0,0,62.3208329124815,0,0,0,0,0,0,0,0,0,0,0,12.4641665824963,0,0,0,0,24.9283331649926,12.4641665824963,0
"41",37.3924997474889,0,0,0,0,0,0,0,62.3208329124815,12.4641665824963,0,0,0,0,0,0,0,0,0,0,324.068331144904,0,0,12.4641665824963,12.4641665824963,0,0,0,12.4641665824963,0,0,12.4641665824963,0,0,0
"42",24.9283331649926,0,24.9283331649926,0,0,0,0,12.4641665824963,137.105832407459,0,12.4641665824963,74.7849994949778,0,0,0,24.9283331649926,0,0,0,0,0,0,0,0,24.9283331649926,0,0,0,0,12.4641665824963,0,0,12.4641665824963,0,0
"43",191.11722093161,0,0,0,0,0,0,0,8.30944438833087,0,0,33.2377775533235,0,0,0,0,33.2377775533235,0,33.2377775533235,0,0,0,0,0,124.641665824963,33.2377775533235,0,49.8566663299852,0,0,0,8.30944438833087,0,0,0
"44",24.9283331649926,0,37.3924997474889,112.177499242467,0,0,0,0,0,0,0,99.7133326599704,0,0,0,0,24.9283331649926,0,0,0,0,0,0,0,37.3924997474889,0,0,0,0,0,0,0,0,0,0
"45",62.3208329124815,0,0,0,0,0,0,0,49.8566663299852,0,0,0,0,0,0,62.3208329124815,37.3924997474889,0,12.4641665824963,0,0,0,0,0,12.4641665824963,0,0,12.4641665824963,12.4641665824963,0,0,0,0,0,0
