"","Acer_negundo","Acer_rubrum","Acer_saccharinum","Acer_saccharum","Aesculus_flava","Ailanthus_altissima","Amelanchier_arborea","Asimina_triloba","Betula_nigra","Carpinus_caroliniana","Carya_spp","Castanea_dentata","Celtis_occidentalis","Cercis_canadensis","Cornus_alternifolia","Cornus_amomum","Cornus_florida","Corylus_americana","Crataegus_spp","Elaeagnus_umbellata","Fagus_grandifolia","Fraxinus_americana","Fraxinus_pennsylvanica","Hamamelis_virginiana","Hypericum_spathulatum","Juglans_nigra","Lindera_benzoin","Liriodendron_tulipifera","Lonicera_japonica","Lonicera_maackii","Nyssa_sylvatica","Ostrya_virginiana","Oxydendrum_arboreum","Parthenocissus_quinquefolia","Pinus_rigida","Pinus_strobus","Platanus_occidentalis","Populus_grandidentata","Prunus_serotina","Quercus_alba","Quercus_coccinea","Quercus_imbricaria","Quercus_montana","Quercus_rubra","Quercus_velutina","Rhus_copallinum","Rhus_glabra","Rhus_typhina","Robinia_pseudoacacia","Rosa_multiflora","Rubus_allegheniensis","Rubus_occidentalis","Sambucus_canadensis","Sassafras_albidum","Smilax_spp","Spiraea_tomentosa","Tilia_americana","Toxicodendron_radicans","Ulmus_americana","Ulmus_rubra","Vaccinium_spp","Viburnum_acerifolium","Viburnum_dentatum","Viburnum_prunifolium","Vitis_spp"
"28",0,4032.9506104322,0,254.647908947033,0,0,636.619772367581,0,0,1400.56349920868,827.605704077856,63.6619772367581,0,0,0,0,267.112075529529,1082.25361302489,0,0,63.6619772367581,190.985931710274,190.985931710274,0,0,0,445.633840657307,203.450098292771,0,0,801.336226588587,0,509.295817894065,381.971863420549,0,0,0,0,177.180620803501,469.221029498023,0,0,0,840.069870660352,190.985931710274,0,0,0,0,0,5856.90190578175,254.647908947033,0,254.647908947033,4647.32433828334,0,0,700.281749604339,0,0,0,5156.62015617741,127.323954473516,445.633840657307,127.323954473516
"29",0,783.507482708984,0,0,0,0,1298.16787790016,0,0,0,63.6619772367581,0,0,0,0,0,63.6619772367581,0,0,0,1552.81578684719,0,0,5474.9300423612,0,0,0,63.6619772367581,0,0,418.023218843761,0,10911.1264406506,0,0,0,0,0,0,74.7849994949778,24.9283331649926,0,0,190.985931710274,76.1261438192544,0,0,0,0,0,0,0,0,1591.54943091895,8530.70494972559,0,0,0,0,0,127.323954473516,254.647908947033,0,0,0
"30",0,49.8566663299852,0,288.016975721692,0,0,0,0,0,636.619772367581,251.965620298479,0,0,0,0,0,0,0,0,0,190.985931710274,76.1261438192544,0,0,0,0,700.281749604339,0,0,0,0,0,0,63.6619772367581,0,12.4641665824963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445.633840657307,0,0,0
"31",0,49.8566663299852,0,694.917172307233,0,0,0,0,0,0,394.436030003045,0,0,0,190.985931710274,0,0,0,0,0,215.914264875267,127.323954473516,0,0,0,0,763.943726841098,341.897075024507,0,0,1489.15380961043,0,0,0,0,0,0,0,127.323954473516,12.4641665824963,0,0,24.9283331649926,127.323954473516,63.6619772367581,0,0,0,0,127.323954473516,0,1400.56349920868,0,63.6619772367581,509.295817894065,0,0,0,0,63.6619772367581,0,636.619772367581,0,0,63.6619772367581
"32",0,278.235097787749,0,0,139.788121056013,0,572.957795130823,0,0,0,0,0,0,0,0,0,63.6619772367581,0,0,0,316.968741859514,63.6619772367581,0,0,0,0,509.295817894065,62.3208329124815,63.6619772367581,0,63.6619772367581,0,1349.36568855442,0,0,0,0,0,0,1144.57444593737,0,0,12.4641665824963,12.4641665824963,12.4641665824963,0,0,0,0,0,0,0,0,63.6619772367581,2482.81711223357,0,0,0,0,0,0,318.309886183791,0,0,0
"33",0,250.624475974203,0,213.231976226714,279.576242112025,0,0,0,0,0,315.627597535237,0,0,0,0,0,0,381.971863420549,0,0,37.3924997474889,76.1261438192544,0,0,0,0,2291.83118052329,0,0,0,0,0,0,381.971863420549,0,0,0,0,12.4641665824963,0,0,0,139.788121056013,88.5903104017507,0,0,0,0,0,1018.59163578813,127.323954473516,0,0,0,4647.32433828334,0,0,0,0,0,0,318.309886183791,0,0,509.295817894065
"34",0,353.020097282726,0,12.4641665824963,0,0,0,0,0,0,24.9283331649926,0,0,0,0,0,0,0,0,0,1920.98233936096,254.647908947033,0,0,0,0,445.633840657307,324.068331144904,0,0,12.4641665824963,0,954.929658551372,0,0,0,0,0,0,63.6619772367581,0,0,0,76.1261438192544,12.4641665824963,0,0,0,0,254.647908947033,63.6619772367581,0,0,0,827.605704077856,0,0,0,0,0,0,0,0,0,0
"35",0,505.272384921235,0,24.9283331649926,0,0,509.295817894065,0,0,700.281749604339,152.252287638509,0,0,190.985931710274,0,0,0,0,0,0,190.985931710274,1285.70371131766,0,0,0,0,1464.22547644544,0,509.295817894065,0,63.6619772367581,0,0,63.6619772367581,0,0,0,0,0,12.4641665824963,12.4641665824963,0,101.054476984247,24.9283331649926,99.7133326599704,0,0,0,0,63.6619772367581,572.957795130823,0,0,0,8976.3387903829,0,12.4641665824963,0,0,0,0,0,0,0,0
"36",0,341.897075024507,0,12.4641665824963,0,0,0,1400.56349920868,0,0,63.6619772367581,0,0,0,0,254.647908947033,0,0,0,0,0,12.4641665824963,0,0,0,0,318.309886183791,0,0,0,0,0,0,190.985931710274,0,0,0,0,0,0,0,0,0,12.4641665824963,0,0,0,0,0,12605.0714928781,891.267681314614,0,0,0,63.6619772367581,0,0,1464.22547644544,164.716454221005,0,0,0,0,827.605704077856,763.943726841098
"37",0,632.596339394751,0,63.6619772367581,0,0,318.309886183791,0,0,0,597.886128295816,0,0,0,0,0,0,0,0,0,316.968741859514,0,0,0,0,0,0,0,0,0,37.3924997474889,0,0,0,0,0,0,0,0,24.9283331649926,0,0,455.41571859125,12.4641665824963,0,0,0,0,0,0,0,0,0,0,891.267681314614,0,0,0,0,0,0,0,0,0,0
"38",0,0,0,314.286453210961,0,0,63.6619772367581,0,0,63.6619772367581,318.309886183791,0,0,0,0,0,0,0,0,0,316.968741859514,2164.50722604978,0,0,0,0,3183.09886183791,0,0,0,0,63.6619772367581,0,0,0,0,0,0,0,74.7849994949778,0,0,0,279.576242112025,63.6619772367581,0,0,0,0,0,0,0,0,0,318.309886183791,0,24.9283331649926,0,63.6619772367581,0,0,0,0,0,0
