"","all_stem_den","big_stem_bas","can_covr_mea","can_heig_mea","ELT"
"152",13473.4616119028,22.6835565301381,90.64,17.5,"dm"
"153",6794.97502544695,16.5876863236484,91.68,14.6666666666667,"dm"
"154",18811.8641591859,28.354145456444,95.4933333333333,23.7333333333333,"wm"
"155",17860.6421747206,29.3459550473804,85.44,27.1333333333333,"wm"
"156",19429.445332571,14.6611259038818,68.8,16.7,"wm"
"157",13096.2228080058,19.5715796068604,92.0266666666667,17.7,"do"
"158",10633.1007408615,24.8713094212546,87.52,17.2233333333333,"do"
"159",9839.49562133179,19.4213459680998,81.6266666666667,17.2333333333333,"wm"
"160",13903.5019492209,25.1494504920772,90.9866666666667,25,"do"
"161",7019.06744548921,20.3648223562273,87.52,19.3666666666667,"do"
"162",12054.4910314851,10.3412822721696,85.7866666666667,19.6666666666667,"wm"
"163",9442.69306156695,18.4277938757929,84.0533333333333,17.9333333333333,"do"
"164",27387.6927157179,12.9064596548934,75.04,19.0666666666667,"do"
"165",20938.6631266015,28.784504137625,92.0266666666667,21.5833333333333,"dm"
"166",14979.3655995112,28.4627222178714,92.3733333333333,22.9,"dm"
"167",4543.27181376379,17.2904886835304,67.76,26.0666666666667,"wm"
"168",13498.3899450678,13.3154384316182,74,15.8666666666667,"wm"
"169",21045.5292289909,19.1181964131882,97.2266666666667,23.5833333333333,"wm"
"170",2858.66159136216,16.4291121727099,94.1066666666667,20.6,"do"
"171",3457.31052665283,29.5450635654058,90.2933333333333,33.3333333333333,"wm"
"172",12586.9269901117,29.3198632103793,95.4933333333333,23.8333333333333,"do"
"173",9569.12291982428,12.1428002714908,62.56,12.7333333333333,"do"
"174",9627.28903054259,20.5515049468765,78.16,15.6,"dm"
"175",19614.6728193201,4.41114548254888,61.8666666666667,10,"do"
"176",13437.5415457009,21.0815190435169,76.08,20.9,"do"
"177",14094.6191701525,19.1093403294437,90.9866666666667,17.4666666666667,"wm"
"178",15720.1691856197,23.404051478842,88.9066666666667,21.1333333333333,"do"
"179",11112.4725876243,26.8039131229279,89.9466666666667,24.0666666666667,"do"
"180",13826.0346610774,23.4294058527162,90.2933333333333,20.5666666666667,"do"
"181",14837.4735271361,29.8548894457932,81.9733333333333,17.7333333333333,"wm"
"182",17745.2040495002,10.091686897956,57.7066666666667,13.6,"do"
"183",13238.3774588236,27.585043203592,74.6933333333333,17.4666666666667,"dm"
"184",10748.0137091966,23.8526705301903,86.1333333333333,27.1666666666667,"wm"
"185",26095.1519935575,9.32874539901323,63.2533333333333,8.4,"do"
"186",18309.983689464,6.27658130367818,95.84,9.8,"dm"
"187",10487.3697051789,20.3202808886104,86.1333333333333,15.2666666666667,"do"
"188",12817.8032405526,18.3140222413658,84.7466666666667,17.79,"dm"
"189",29962.9391016606,20.8511760252695,80.5866666666667,21,"do"
"190",22338.0699511513,5.87001070300467,34.1333333333333,18.4,"do"
"191",12999.4543424371,16.9835800245386,77.4666666666667,11.1333333333333,"do"
"192",10126.487211616,12.6354125877777,57.0133333333333,8.96666666666667,"do"
"193",4120.01530684426,33.5054559218942,90.2933333333333,23.5333333333333,"do"
"194",23438.8619346065,3.37505547289007,42.1066666666667,7.4,"do"
"195",7526.31249250824,45.1670386613413,88.2133333333333,25.1333333333333,"do"
"196",25378.3826443979,12.6746090792805,80.5866666666667,18.8433333333333,"dm"
"197",12485.4254650194,40.6052614404678,82.32,23.1566666666667,"dm"
"198",11716.1171608812,29.0211319080064,92.72,21.1666666666667,"wm"
"199",18906.2129145488,23.6008758190409,74.3466666666667,19.8166666666667,"dm"
"200",12960.589409144,25.533512151826,90.64,21.41,"do"
"201",2509.92750549494,24.6360195264573,80.9333333333333,22.0666666666667,"dm"
"202",14193.1758281537,26.8430182473177,86.48,20.4666666666667,"dm"
"203",12231.6716522886,29.5874187485316,94.8,27.0666666666667,"wm"
"204",6738.33452871833,40.5803312710471,87.8666666666667,24.4666666666667,"do"
"205",9116.20502021616,17.1057509071449,83.36,11.5,"do"
"206",7415.60742681139,25.6674889706842,96.1866666666667,17.4333333333333,"do"
"207",16024.9895197834,19.6918709374266,95.84,24,"do"
"208",19835.8203722712,7.98625577570679,70.5333333333333,16.2,"do"
"209",16300.4110397013,8.48647114104472,51.8133333333333,13.5333333333333,"wm"
"210",28912.0037845354,22.9769624350641,36.56,20.8666666666667,"wm"
